archivo,sha256
ESCUCHAR.html,f501563d9e6426cc159da8c1e2372e137563eb09d170e9c3f8cd233fcae30ea2
INSTALACION_Y_PRUEBAS.txt,66bffbc8c16660b6f65b967f3f5f24d46490c462f3557277510c2c6fab4fc2e4
README.md,d9af0591e768e84b9f6aec5ad216db1460369449af56aba1748760f5f4c8b2bf
VALIDACION.json,50b1c4641a9e2ce28fea9b8cbd4e317fd850a32f2e1ab5dfcc88c9a586dfc891
assets/audio_eventos_v1/CATALOGO.csv,3ae77d7b0d8b1db8b9a3466de52f6e7a4623a4fe3ccee9ad58798d76f8b6b347
assets/audio_eventos_v1/EDICIONES_Y_FUENTES.json,802aa68ea74cfdddc20cd5800b4af7b45eb00d34bb6e3da7657e77a9c52c7660
assets/audio_eventos_v1/integration/SNDINFO_EVENTOS_V1.txt,f90583850948939e779477861f7eac64763ddc76a937fb8abd6f12509b8240b0
assets/audio_eventos_v1/masters/ca_lever_activate.wav,bc16ab2f73bc7368942bce06ca5f3795b4cea01524a6e26dff19ab1c5c0dddaf
assets/audio_eventos_v1/masters/ca_rock_roll_loop.wav,20a2d41d3503e803d00ab1be01194f52897d50c29085d34c4e8d1678f7a8e4aa
assets/audio_eventos_v1/masters/ca_tarot_card_capture.wav,a34cd7afd3296c17c80ac05a52178f944316832c93072a7a1ad22cd0c95bf741
assets/audio_eventos_v1/masters/ca_travel_carriage.wav,574bc5b6ea1b2ed7ee4a015925abef4596ee033e595b356999637bd23447c4f0
assets/audio_eventos_v1/masters/ca_travel_ship.wav,2fedbc363f234072c930e3254eb95a446446f7e1601cada639a570733af1fbe1
assets/audio_eventos_v1/masters/ca_travel_ship_first_seconds.wav,8336403d9e61447a94ac78912c5b0bc809b16d3c10ce04f23e707a5d4af9a91f
assets/audio_eventos_v1/sources/freesound_551436_hq_preview.mp3,7854ab1b93d307c5966897f32b913d71da9feab655be60bef9aad293d2ff8525
assets/audio_eventos_v1/sources/freesound_799521_hq_preview.mp3,1d9b44e93715f754476ebb8ad7f0948191edc4ed53c0ffacfa0d869efa8a7f6f
assets/audio_eventos_v1/sources/freesound_843303_hq_preview.mp3,83d845baecb608ecbfdb1ca42cd102b5d42151b64a7fda3e805fc7901d493b6c
assets/audio_eventos_v1/sources/freesound_870289_hq_preview.mp3,6c493d69335349c068059a51307f469bfe4a224387b5f72298ba42d104ae8a84
src/licenses/AUDIO_EVENTOS_V1_CREDITS.md,b443929b47ca4dc5bf6f62419ea03dbf81819280aa7d7ecce127f5e795502468
src/sounds/caelum/ui/tarot/ca_tarot_card_capture.ogg,ecba2d30e9d6d78a529dd0e06b86f3dcf6547be24d5c788873914cb66951c793
src/sounds/caelum/ui/travel/ca_travel_carriage.ogg,21605b799803cb7686c4d3cf642df38873a9c6b5292c62f45c8534d48247b8d8
src/sounds/caelum/ui/travel/ca_travel_ship.ogg,5885e41d3bb96c133437c9512dde4ff12a6ccaa98dd6d915f0d1175fb0029f10
src/sounds/caelum/ui/travel/ca_travel_ship_first_seconds.ogg,f42ed8d90fd5363fff6e4086f648c6830071d2dfc4f3f2cfa0e23cb93c9cf1a5
src/sounds/caelum/world/hazards/ca_rock_roll_loop.ogg,69f991860ee463e4232051294c594bc8d2bc0006d480a48dd39b4c8246c3f32c
src/sounds/caelum/world/mechanisms/ca_lever_activate.ogg,05db244a4f6e91dc0779cca2838f0e5bc2fd3cc136bf66f7d9d2f26898203f76
