path,sha256,width,height,offset_x,offset_y
sprites/caelum/first_person/v1/axe/F061A0.png,008f85159b0b5b98be3574e03a1d040579e5a393f724c7ad051195859a1eeced,320,200,160,32
sprites/caelum/first_person/v1/axe/F062A0.png,7807ae3c36f62e937de825c1fb1b617379d5b6c93224c10ccc9935b18d14dfe4,320,200,160,32
sprites/caelum/first_person/v1/axe/F063A0.png,ff111e6013848849ad139ee0be135a6eb0acae717829ffbf57b02507c8e63e70,320,200,160,32
sprites/caelum/first_person/v1/bell/F141A0.png,1dce36740c26fe6b6470abad572acce6ba1eb70e68008bb05624cf6b535f4dde,320,200,160,32
sprites/caelum/first_person/v1/bell/F142A0.png,4a7013a2d5ca6dcfcda6610160d42d951dbab9d319cf1aa35c510419c8379a2d,320,200,160,32
sprites/caelum/first_person/v1/bell/F143A0.png,bfdee6cf1aeaf78760a7306e488565b9cd5612818b97b7bcc01f0d21609dc619,320,200,160,32
sprites/caelum/first_person/v1/book/F151A0.png,96e1241107502167190f3998badb444ddc7bdcc287ee9ff500a8f6fec1d3c67f,320,200,160,32
sprites/caelum/first_person/v1/book/F151B0.png,9b4da1810ee733c40e8386b6e4313508cc6bac1b34f5d39e5bfdd9024ec8807b,320,200,160,32
sprites/caelum/first_person/v1/book/F152A0.png,59be38346bbe6e97ee4deef35cb97eb1770b93f861ba4b70bff663135aa19209,320,200,160,32
sprites/caelum/first_person/v1/book/F152B0.png,ef533307ed7dbf5748388a61888dce21f57ef2268f2c8d5a3cd72a0814f51104,320,200,160,32
sprites/caelum/first_person/v1/book/F153A0.png,6ded57e6af7264f24352e2eaeeceef36b02c1e79b9ac08f0d5b17be37bd3d7ef,320,200,160,32
sprites/caelum/first_person/v1/book/F153B0.png,e7b960b38116b0f8063d2e3c900ee50bd6caf901517a61734513f16f80428c52,320,200,160,32
sprites/caelum/first_person/v1/carbine/F191A0.png,c5061b7d73132298b63bb81de6b2edc2d9ae7d25d385764407014552c43d1133,320,200,160,32
sprites/caelum/first_person/v1/carbine/F191B0.png,d13cc4f4378c9d460d4bb1c7eb50ae2bba939cc1730f7f33bdf2c7dda556f862,320,200,160,32
sprites/caelum/first_person/v1/carbine/F191C0.png,196f70813447b2a874d55ad951193b3272679b5a5c693f46bc7c6a4d930639e8,320,200,160,32
sprites/caelum/first_person/v1/carbine/F192A0.png,6a511a6a6b8b859cf60b98577f4ecc8a7be49b1237983f489487cf00be51aeb2,320,200,160,32
sprites/caelum/first_person/v1/carbine/F192B0.png,286bde23a31726d6ce405cb262e70ab7a33f2db49f488ad79771e13488a7d13d,320,200,160,32
sprites/caelum/first_person/v1/carbine/F192C0.png,577b1b055cf5d3a7c37e96e6527d2d535a27af773118bd4c72ac44de2b03d730,320,200,160,32
sprites/caelum/first_person/v1/carbine/F193A0.png,bac94043e713f3a88b97f05d6858161d2c799a585f71a03330c75a8f99dffe58,320,200,160,32
sprites/caelum/first_person/v1/carbine/F193B0.png,32f2bc39e8da4e9d3dbcddfc599e91fd28bb0f3ad1b5dff4e4aa696179f8fded,320,200,160,32
sprites/caelum/first_person/v1/carbine/F193C0.png,6f2b5f64fe28380bc7f75e91e2a61a1ced047b76fed38d5a24a06e0568350abb,320,200,160,32
sprites/caelum/first_person/v1/crossbow/F181A0.png,1aa38a0071f7a0ecd8b360723e031a4b4531390b4d663574344056343a1b01ca,320,200,160,32
sprites/caelum/first_person/v1/crossbow/F181B0.png,a34b2b70073749be62419686fd893cdb852fee9c01a4150eff21150bfbb4d705,320,200,160,32
sprites/caelum/first_person/v1/crossbow/F181C0.png,909c7f7b1fbc328d2caf2e6dc7d20f375f0afda1fa9030cd11a9382fccb69a22,320,200,160,32
sprites/caelum/first_person/v1/crossbow/F182A0.png,7954e329129242c8f88676cbe689d150aa308ff4c2f0271b4ea7eb713ae7ecd4,320,200,160,32
sprites/caelum/first_person/v1/crossbow/F182B0.png,0e2cbd9701d3f815809cb89692b6bc2cc2b728b9f32fcf913c766a346ef100fb,320,200,160,32
sprites/caelum/first_person/v1/crossbow/F182C0.png,b3ce06f67b0b9d718d7a8c7bf823701306d9152a20e4e9c2b2e1f9cbcd8fcdc3,320,200,160,32
sprites/caelum/first_person/v1/crossbow/F183A0.png,e03d12c0ba8395bd1a5ec748d1683c554b17b9b3bf3159e38b905c3c3e35c6c9,320,200,160,32
sprites/caelum/first_person/v1/crossbow/F183B0.png,92fe9188ea6698e955ca2827f32140fe9a2ee7f056a6df21d8f01b457ef7ced8,320,200,160,32
sprites/caelum/first_person/v1/crossbow/F183C0.png,1f20ba54ac1a6f78b4f3ec477f0d82c89c18efb288661062b01b0caa943b2332,320,200,160,32
sprites/caelum/first_person/v1/dagger/F011A0.png,99e3064afd385ce3867ba65d045e604339cf487c1b6c96efc83eb6b49ee525b2,320,200,160,32
sprites/caelum/first_person/v1/dagger/F012A0.png,1df4bfc3bfb47f04d4f79789c3eec12e86bcdc59a8c7d2aea6bea071ca5d5bb6,320,200,160,32
sprites/caelum/first_person/v1/dagger/F013A0.png,de23324738763b243093b0b55df31494800d7076cfab05112d064b80f6eba638,320,200,160,32
sprites/caelum/first_person/v1/flail/F071A0.png,0795357e141331267c7ae41994bae7a1966c1a32356f8032e6857efe60ed7d42,320,200,160,32
sprites/caelum/first_person/v1/flail/F072A0.png,8039cb62c0af5ea64a31a960dde37b1a6ccd4ced609c09622b44b37bc302d87a,320,200,160,32
sprites/caelum/first_person/v1/flail/F073A0.png,f6b55aaec586f390aecbf443188c53e820533c46fa749780919bc40459625843,320,200,160,32
sprites/caelum/first_person/v1/giant_gauntlets/F201A0.png,a488020b5f577d8bf39802c814e818847e03bf43c762cb9a2f1ee27e5f0ce8eb,320,200,160,32
sprites/caelum/first_person/v1/giant_gauntlets/F201B0.png,6eb335fb48679477f81b7fb95d629db311a7928d8e2b7eb9dcad6a4dcd24aa51,320,200,160,32
sprites/caelum/first_person/v1/giant_gauntlets/F201C0.png,bc1f4b044b95ba747db823f5acb352db6af732d657ab5a594f7d0df09efe0733,320,200,160,32
sprites/caelum/first_person/v1/giant_gauntlets/F202A0.png,8dfd506cc7d4070e94bb950b22eaf6e0fb31345479bac6b2bb671c136795367e,320,200,160,32
sprites/caelum/first_person/v1/giant_gauntlets/F202B0.png,ba957d1685658109ab3facab536f88719649e2427b235d982dad0c2f4751aea5,320,200,160,32
sprites/caelum/first_person/v1/giant_gauntlets/F202C0.png,35af0ac067db03df224c9d9c06a9e66dddca7b7c5ee7da35471b819e31ca81c8,320,200,160,32
sprites/caelum/first_person/v1/giant_gauntlets/F203A0.png,438176bd7ad95e6de5c6e4da88b9051f8d1d433b0550d6bcc9b8f4ea2eafc522,320,200,160,32
sprites/caelum/first_person/v1/giant_gauntlets/F203B0.png,1f07293dc46efb400005f3ccb808d354903bebb00114c509dd8fb539e917fb54,320,200,160,32
sprites/caelum/first_person/v1/giant_gauntlets/F203C0.png,a5904009218bd2cfe77be22e5a9d6553f5a24019bffa1ba6bbc44d6ee521396a,320,200,160,32
sprites/caelum/first_person/v1/greatsword/F091A0.png,de7122005f853b8d57df8578f15e8d7cd62ac36dcd3dc0625427993cecc58d32,320,200,160,32
sprites/caelum/first_person/v1/greatsword/F092A0.png,19f86c552ea795dd778d49ae22ca2eccc073df1913346d06244835d7cfdbedc0,320,200,160,32
sprites/caelum/first_person/v1/greatsword/F093A0.png,285054f39bca21dc7cb31d326504e5f28d8eb5f9c634e6091bf1ecfc017c329e,320,200,160,32
sprites/caelum/first_person/v1/halberd/F111A0.png,0ea557abcfa1f08043b75ce16fdab87ec623ee5eaebe4f8f9101b85568710bed,320,200,160,32
sprites/caelum/first_person/v1/halberd/F112A0.png,f9e63a32de26ec14269607e01a37522f77b807faeddd8cf823cda772cb91b0ec,320,200,160,32
sprites/caelum/first_person/v1/halberd/F113A0.png,8c83aaf2670fa6f7d0ac768c9f4616ff61a5b87774f402ee298d39eb95ba62cd,320,200,160,32
sprites/caelum/first_person/v1/hands/FH00A0.png,c91f9efe3157732e00f19d5a59b4551140f1ca0a444dc81afed5ee7c96843f3d,320,200,160,32
sprites/caelum/first_person/v1/hands/FH01A0.png,64e7ec2168408769db8b4602b2d8c0538018ea68d6913df317af01ed2bfda472,320,200,160,32
sprites/caelum/first_person/v1/hands/FH02A0.png,8331f3b2bdc643164d1ffd62532bc7329356a07f8ca88ad489040425c6c13ea3,320,200,160,32
sprites/caelum/first_person/v1/hands/FH03A0.png,a9d3559bffa221bd8f11a32141802a782ed848b3bb7aefe5e2b6140fe82e5215,320,200,160,32
